url,car_id,year,brand,model,price_usd,price_type,mileage_km,transmission,color,body_type,fuel,drive,engine_l
https://auto.am/offer/3218939,3218939,1996,Lixiang,i8,144283,fixed,165024,,"Կարմիր ""\\u053f\u0561\u0580\u0574\u056b\u0580"" Վիճակը Նորմալ Լրացուցիչ Վթարված չի եղել",Սեդան,,,4.0
https://auto.am/offer/3193773,3193773,2008,Nissan,Skyline,11560,unknown,247986,Մեխանիկական,"Բեժ ""\\u0532\u0565\u056a"" Վիճակը Գերազանց Լրացուցիչ Meqenan gtnvum e Gyumrium",Սեդան,Դիզել,Լրիվ,2.0
https://auto.am/offer/3209408,3209408,2021,Porsche,Cayman,10738,contractual,163403,Ավտոմատ,"Մոխրագույն ""\\u0544\u0578\u056d\u0580\u0561\u0563\u0578\u0582\u0575\u0576"" Վիճակը Վթարված Լրացուցիչ Meqenan idealakan vichakum e texadrvac e od gaz",Սեդան,Գազ,,5.0
https://auto.am/offer/3180191,3180191,2009,Nissan,Elgrand,269792,contractual,19718,Ռոբոտ,"Բեժ ""\\u0532\u0565\u056a"" Վիճակը Լավ Լրացուցիչ Նայել մեր մյուս հայտարարությունները",Սեդան,Բենզին,Լրիվ,4.0
https://auto.am/offer/3180698,3180698,2016,Lexus,IS 250,10061,fixed,316926,Վարիատոր,"Սև ""\\u054d\u0587"" Վիճակը Լավ Լրացուցիչ Նայել մեր մյուս հայտարարությունները",Սեդան,,Առջևի,4.4
https://auto.am/offer/3196542,3196542,2026,BYD,e7,38782,fixed,4039,Մեխանիկական,"Մոխրագույն ""\\u0544\u0578\u056d\u0580\u0561\u0563\u0578\u0582\u0575\u0576"" Վիճակը Գերազանց Օպցիաներ ABS",Սեդան,Հիբրիդ,,1.0
https://auto.am/offer/3207899,3207899,2006,Mercedes-Benz,GLA 35 AMG,78510,contractual,228403,Մեխանիկական,"Կապույտ ""\\u053f\u0561\u057a\u0578\u0582\u0575\u057f"" Վիճակը Գերազանց Լրացուցիչ Վթարված չի եղել",Սեդան,,Հետևի,1.0
https://auto.am/offer/3218260,3218260,2001,Leapmotor,B01,21730,fixed,293015,Ավտոմատ,"Սպիտակ ""\\u054d\u057a\u056b\u057f\u0561\u056f"" Վիճակը Նոր Օպցիաներ ABS",Սեդան,Բենզին,Լրիվ,
https://auto.am/offer/3217561,3217561,2021,Audi,Q2L e-tron,179659,unknown,153014,Ռոբոտ,"Կանաչ ""\\u053f\u0561\u0576\u0561\u0579"" Վիճակը Վթարված Լրացուցիչ Meqenan gtnvum e Gyumrium",Սեդան,Դիզել,Լրիվ,2.5
https://auto.am/offer/3198459,3198459,2015,Mercedes-Benz,GL 63 AMG,9214,contractual,187733,Վարիատոր,"Բեժ ""\\u0532\u0565\u056a"" Վիճակը Նորմալ Լրացուցիչ Meqenan gtnvum e Gyumrium",Սեդան,Բենզին,Հետևի,3.5
https://auto.am/offer/3215452,3215452,1998,BMW,X1,39941,contractual,216833,Ավտոմատ,"Բալագույն ""\\u0532\u0561\u056c\u0561\u0563\u0578\u0582\u0575\u0576"" Վիճակը Վթարված Լրացուցիչ Նայել մեր մյուս հայտարարությունները",Սեդան,Հիբրիդ,,
https://auto.am/offer/3194434,3194434,2024,Fangchengbao,Leopard 3,10952,contractual,339688,Վարիատոր,"Կարմիր ""\\u053f\u0561\u0580\u0574\u056b\u0580"" Վիճակը Վթարված Լրացուցիչ Վթարված չի եղել",Սեդան,Հիբրիդ,,4.4
https://auto.am/offer/3204583,3204583,1999,Mercedes-Benz,CLE 450,23765,contractual,321005,Ավտոմատ,"Սև ""\\u054d\u0587"" Վիճակը Գերազանց Լրացուցիչ Meqenan idealakan vichakum e texadrvac e od gaz",Սեդան,Դիզել,Առջևի,5.0
https://auto.am/offer/3214114,3214114,2007,Ferrari,LaFerrari,14981,fixed,247625,,"Բեժ ""\\u0532\u0565\u056a"" Վիճակը Նոր Լրացուցիչ Վթարված չի եղել",Սեդան,Դիզել,Հետևի,
https://auto.am/offer/3205252,3205252,2001,Mercedes-Benz,S 450,30363,fixed,340752,Վարիատոր,"Բալագույն ""\\u0532\u0561\u056c\u0561\u0563\u0578\u0582\u0575\u0576"" Վիճակը Գերազանց VIN 1G1BE5SM3H7178634 Օպցիաներ ABS",Սեդան,Բենզին,Լրիվ,1.0
https://auto.am/offer/3201861,3201861,2010,VAZ,(Lada) 2172 Priora,1329,fixed,298509,Ավտոմատ,"Դեղին ""\\u0534\u0565\u0572\u056b\u0576"" Վիճակը Գերազանց Լրացուցիչ Վթարված չի եղել",Սեդան,Դիզել,Լրիվ,3.5
https://auto.am/offer/3215534,3215534,2007,Subaru,Forester,23555,contractual,13081,Ռոբոտ,"Բալագույն ""\\u0532\u0561\u056c\u0561\u0563\u0578\u0582\u0575\u0576"" Վիճակը Նորմալ Լրացուցիչ Meqenan gtnvum e Gyumrium",Սեդան,Էլեկտրո,,5.3
https://auto.am/offer/3190210,3190210,2012,Mercedes-Benz,GL 500,38560,unknown,152659,Ռոբոտ,"Բեժ ""\\u0532\u0565\u056a"" Վիճակը Գերազանց Օպցիաներ ABS",Սեդան,Գազ,Առջևի,1.0
https://auto.am/offer/3205091,3205091,2026,Xpeng,G6,38672,unknown,2989,,"Դեղին ""\\u0534\u0565\u0572\u056b\u0576"" Վիճակը Վթարված Լրացուցիչ Meqenan gtnvum e Gyumrium",Սեդան,Բենզին,Հետևի,5.3
https://auto.am/offer/3208811,3208811,2024,Mercedes-Benz,300,123978,unknown,60367,,"Կարմիր ""\\u053f\u0561\u0580\u0574\u056b\u0580"" Վիճակը Նոր Լրացուցիչ Նայել մեր մյուս հայտարարությունները",Սեդան,Գազ,Լրիվ,5.0
https://auto.am/offer/3193782,3193782,2009,Lexus,ES 250,318871,unknown,158699,Մեխանիկական,"Շագանակագույն ""\\u0547\u0561\u0563\u0561\u0576\u0561\u056f\u0561\u0563\u0578\u0582\u0575\u0576"" Վիճակը Գերազանց Սրահի գույնը Սև \""\u054d\u0587\"" Շարժիչի ծավալը 2",Սեդան,Գազ,Լրիվ,4.0
https://auto.am/offer/3196127,3196127,2014,Mercedes-Benz,GLC 250,35564,contractual,20515,Ռոբոտ,"Դեղին ""\\u0534\u0565\u0572\u056b\u0576"" Վիճակը Նոր Լրացուցիչ Վթարված չի եղել",Սեդան,Բենզին,Առջևի,3.5
https://auto.am/offer/3183486,3183486,2017,Jeep,Wagoner,1249,fixed,98219,Վարիատոր,"Դեղին ""\\u0534\u0565\u0572\u056b\u0576"" Վիճակը Նոր Լրացուցիչ Նայել մեր մյուս հայտարարությունները",Սեդան,Դիզել,Լրիվ,1.5
https://auto.am/offer/3197262,3197262,2020,BMW,Z4,154876,contractual,69816,Մեխանիկական,"Սպիտակ ""\\u054d\u057a\u056b\u057f\u0561\u056f"" Վիճակը Լավ Լրացուցիչ Meqenan gtnvum e Gyumrium",Սեդան,Բենզին,Հետևի,3.5
https://auto.am/offer/3202449,3202449,2023,Hyundai,Starex,266938,unknown,328734,Ավտոմատ,"Մոխրագույն ""\\u0544\u0578\u056d\u0580\u0561\u0563\u0578\u0582\u0575\u0576"" Վիճակը Լավ Սրահի գույնը Սև \""\u054d\u0587\"" Շարժիչի ծավալը 2",Սեդան,Գազ,Լրիվ,5.3
https://auto.am/offer/3212544,3212544,2023,BMW,323,73182,fixed,235340,Ռոբոտ,"Սև ""\\u054d\u0587"" Վիճակը Վթարված Լրացուցիչ Meqenan idealakan vichakum e texadrvac e od gaz",Սեդան,Էլեկտրո,Առջևի,2.0
https://auto.am/offer/3201446,3201446,2025,Mercedes-Benz,C 220,193748,unknown,3345,Վարիատոր,"Դեղին ""\\u0534\u0565\u0572\u056b\u0576"" Վիճակը Լավ Լրացուցիչ Վթարված չի եղել",Սեդան,Էլեկտրո,,2.5
https://auto.am/offer/3196372,3196372,2022,Mazda,Premacy,3683,fixed,8180,,"Սև ""\\u054d\u0587"" Վիճակը Վթարված VIN 1G1BE5SM3H7178634 Օպցիաներ ABS",Սեդան,Դիզել,Հետևի,3.5
https://auto.am/offer/3213818,3213818,2012,VAZ,(Lada) Largus,13770,unknown,131270,,"Դեղին ""\\u0534\u0565\u0572\u056b\u0576"" Վիճակը Գերազանց Լրացուցիչ Meqenan gtnvum e Gyumrium",Սեդան,Դիզել,,4.0
https://auto.am/offer/3196565,3196565,1995,Ford,Transit,48286,contractual,325634,,"Բալագույն ""\\u0532\u0561\u056c\u0561\u0563\u0578\u0582\u0575\u0576"" Վիճակը Նորմալ Օպցիաներ ABS",Սեդան,Բենզին,,
https://auto.am/offer/3195877,3195877,2018,Toyota,Harrier,8187,fixed,176290,Ռոբոտ,"Սև ""\\u054d\u0587"" Վիճակը Վթարված Լրացուցիչ Նայել մեր մյուս հայտարարությունները",Սեդան,,Հետևի,4.0
https://auto.am/offer/3185257,3185257,2005,BMW,120,160086,unknown,103808,Վարիատոր,"Արծաթագույն ""\\u0531\u0580\u056e\u0561\u0569\u0561\u0563\u0578\u0582\u0575\u0576"" Վիճակը Գերազանց Լրացուցիչ Meqenan gtnvum e Gyumrium",Սեդան,Բենզին,Լրիվ,
https://auto.am/offer/3214604,3214604,2019,BMW,750,9555,fixed,189301,Ավտոմատ,"Մոխրագույն ""\\u0544\u0578\u056d\u0580\u0561\u0563\u0578\u0582\u0575\u0576"" Վիճակը Նորմալ VIN 1G1BE5SM3H7178634 Օպցիաներ ABS",Սեդան,Էլեկտրո,Առջևի,1.5
https://auto.am/offer/3195694,3195694,2022,Lixiang,Li L6,25336,contractual,233220,,"Կարմիր ""\\u053f\u0561\u0580\u0574\u056b\u0580"" Վիճակը Նորմալ Լրացուցիչ Meqenan idealakan vichakum e texadrvac e od gaz",Սեդան,Հիբրիդ,Առջևի,4.0
https://auto.am/offer/3203660,3203660,2000,Mercedes-Benz,Vito,114311,fixed,100480,Ռոբոտ,"Մոխրագույն ""\\u0544\u0578\u056d\u0580\u0561\u0563\u0578\u0582\u0575\u0576"" Վիճակը Գերազանց Լրացուցիչ Meqenan idealakan vichakum e texadrvac e od gaz",Սեդան,Բենզին,Լրիվ,2.5
https://auto.am/offer/3216981,3216981,2021,Nissan,Armada,43693,fixed,300601,Ռոբոտ,"Դեղին ""\\u0534\u0565\u0572\u056b\u0576"" Վիճակը Վթարված Լրացուցիչ Meqenan idealakan vichakum e texadrvac e od gaz",Սեդան,Դիզել,Լրիվ,5.0
https://auto.am/offer/3213392,3213392,2024,BMW,340,13180,fixed,160244,Ավտոմատ,"Շագանակագույն ""\\u0547\u0561\u0563\u0561\u0576\u0561\u056f\u0561\u0563\u0578\u0582\u0575\u0576"" Վիճակը Նոր VIN 1G1BE5SM3H7178634 Օպցիաներ ABS",Սեդան,Էլեկտրո,Լրիվ,2.0
https://auto.am/offer/3210227,3210227,2017,Voyah,Courage,290936,fixed,273898,Մեխանիկական,"Սպիտակ ""\\u054d\u057a\u056b\u057f\u0561\u056f"" Վիճակը Նոր Լրացուցիչ Meqenan idealakan vichakum e texadrvac e od gaz",Սեդան,Դիզել,Հետևի,2.0
https://auto.am/offer/3198503,3198503,2023,Ruichi,EC35 II,7997,contractual,253335,Ռոբոտ,"Արծաթագույն ""\\u0531\u0580\u056e\u0561\u0569\u0561\u0563\u0578\u0582\u0575\u0576"" Վիճակը Նոր Օպցիաներ ABS",Սեդան,Էլեկտրո,,5.3
https://auto.am/offer/3192360,3192360,2000,Lexus,LX 570,310346,contractual,114518,Ավտոմատ,"Մոխրագույն ""\\u0544\u0578\u056d\u0580\u0561\u0563\u0578\u0582\u0575\u0576"" Վիճակը Գերազանց Լրացուցիչ Meqenan gtnvum e Gyumrium",Սեդան,Էլեկտրո,Հետևի,
